AREA_ACRES,AREA_SQKM,STATES,HUC_10,HU_10_NAME,HU_10_MOD,HU_10_TYPE,VERTICES,Shape_Length,Shape_Area
209802.989,849.6287017,"CO,WY",1404010901,Vermillion Creek,NM,S,94,1.573701743,0.09102785
185235.27,749.0608788,CO,1405000104,Oak Creek-Yampa River,NM,S,136,1.85249456,0.079474525
109770.808,442.7398505,CO,1405000110,Williams Fork,NM,S,79,1.135072119,0.046914428
128527.958,521.2940048,CO,1401000110,Rock Creek,NM,S,103,1.494247418,0.055012088
189828.191,766.7951411,"CO,WY",1405000302,Little Snake River-Willow Creek,IT,S,177,2.548509462,0.082062414
166857.504,676.2925383,CO,1405000501,North Fork White River,NM,S,95,1.470501105,0.071348689
124659.355,505.1906354,CO,1408020201,Upper McElmo Creek,RS,S,88,1.154576525,0.051398927
178272.55,719.80745,CO,1405000504,Strawberry Creek-White River,NM,S,124,1.629367562,0.075960378
177251.993,717.2148174,CO,1405000505,Crooked Wash-White River,NM,S,97,1.333274379,0.075886195
198280.62,801.7445709,CO,1405000602,Outlet Piceance Creek,NM,S,126,1.833859206,0.084406895
150322.375,607.2807346,"CO,UT",1405000710,Coyote Wash,OT,S,80,1.218692296,0.064138578
106258.229,431.2926981,"CO,UT",1406000102,Cliff Creek,OT.CD,S,77,1.18556659,0.04568638
163190.68,659.8693415,"CO,NM,OK",1104000110,Sloan Creek-Dry Cimarron River,GC,S,109,1.592762475,0.066761782
194109.672,786.6831131,CO,1104000501,Cat Creek-Bear Creek,NM,S,88,1.922025046,0.080061933
193186.308,781.7078618,CO,1102000102,Headwaters Arkansas River,NM,S,94,1.371284473,0.081547405
175065.75,708.5845507,CO,1102000202,Outlet Four Mile Creek,NM,S,117,1.503877216,0.073330335
254982.992,1033.463662,"CO,KS",1026000101,Willow Creek-Smoky Hill River,NM,S,141,2.14528039,0.107358456
81544.096,328.7425589,CO,1102000206,Red Creek-Arkansas River,NM,S,70,1.118729729,0.033856578
102459.687,414.8891327,CO,1102000209,Dry Creek-Arkansas River,NM,S,74,1.283140731,0.04272756
75848.118,306.9919044,CO,1102000302,Upper Fountain Creek,NM,S,66,0.883154524,0.031873482
167425.455,678.9693169,CO,1102000403,Chico Creek,NM,S,94,1.664096655,0.070139003
244993.45,991.8306863,CO,1102000503,Chicosa Creek-Arkansas River,TF,S,137,2.318899811,0.101917508
70810.547,286.4758432,CO,1102000508,Crooked Arroyo,NM,S,48,0.905178421,0.029321344
163160.527,661.5803929,CO,1102000701,Headwaters Apishapa River,NM,S,92,1.488295027,0.067290226
214213.063,865.7863026,CO,1102000702,Upper Apishapa River,NM,S,102,1.612803623,0.088288435
145006.689,585.6638781,CO,1102000805,Lower Horse Creek,NM,S,77,1.397848535,0.060235969
129060.893,521.5193329,"CO,NM",1102001003,Trinidad Lake-Purgatorie River,NM,S,98,1.388706768,0.052864645
99317.701,402.8756359,"CO,NM",1102001008,Trinchera Creek,NM,S,80,1.062888845,0.040798704
175425.534,708.7057881,CO,1102001107,Big Spring Creek-Big Sandy Creek,NM,S,94,1.329331616,0.073574754
200711.871,808.7598797,"CO,KS",1103000202,Middle White Woman Creek,NM,S,145,2.549667119,0.083507246
220074.094,891.2510001,CO,1025000204,Surveyor Creek,NM,S,180,2.413772276,0.09429037
155120.709,627.7460976,CO,1025000308,North Sand Creek-South Fork Republican River,NM,S,136,1.784333565,0.065791676
179382.025,723.4130937,CO,1102000502,Kramer Creek,NM,S,92,1.416128227,0.074648739
124530.292,502.8812345,CO,1102000909,Mud Creek,NM,S,55,1.054824098,0.051479705
36050.826,146.5823295,"CO,NM",1102001004,Raton Creek,NM,S,39,0.584866349,0.014848495
80194.089,324.2201974,CO,1102001005,Chicosa Arroyo,NM,S,60,0.973308033,0.032954547
160392.233,647.9652724,CO,1102001006,Frijole Creek-Purgatorie River,NM,S,86,1.393131436,0.065770233
98278.361,398.4101556,"CO,KS",1025000310,Bonny Reservoir-South Fork Republican River,NM,S,77,1.173708914,0.041830389
142090.92,575.3023158,"CO,NE",1025000605,Spring Creek,NM,S,223,2.926100766,0.061259306
54895.911,221.6701772,CO,1102001012,Taylor Arroyo,NM,S,46,0.692407401,0.022571129
151103.072,612.9949712,CO,1102001018,Jack Canyon-Purgatorie River,NM,S,89,1.361488391,0.06261989
147058.968,593.8085087,CO,1102001204,Upper Rush Creek,NM,S,97,1.381271479,0.061616604
150385.566,607.4811557,CO,1102001302,Middle Two Butte Creek,NM,S,96,1.659046865,0.061943892
177868.177,720.1773185,"CO,KS",1103000105,James Draw,ID,S,118,2.485110666,0.074138544
170543.932,691.3544325,"CO,KS",1025001301,Upper Little Beaver Creek,NM,S,128,1.944742907,0.072392569
85871.369,347.4740569,"CO,NM",1104000103,Long Canyon,NM,S,74,1.150828299,0.035176424
91409.052,370.5049438,"CO,NM",1104000106,Colbert Canyon-Dry Cimarron River,NM,S,66,0.964676235,0.037520875
143430.204,580.1872145,"CO,KS,OK",1104000206,City of Elkhart-Cimarron River,NM,S,83,1.483592134,0.058803391
139488.183,565.4659052,"CO,KS",1104000302,Town of Richfield-North Fork Cimarron River,NM,S,69,1.5666537,0.057394287
70103.927,283.0419153,CO,1102000103,Cottonwood Creek,NM,S,57,0.926684004,0.029356115
137312.943,555.7824648,CO,1102000211,Headwaters Saint Charles River,NM,S,94,1.443069242,0.057047793
160627.148,650.252664,CO,1025000103,North Branch Arikaree River-Arikaree River,NM,S,170,2.23093711,0.0681343
103834.662,420.7315299,CO,1025000202,Rock Creek,NM,S,90,1.350148572,0.044608195
198095.206,801.1082415,CO,1019000301,Headwaters Cherry Creek,NM,S,121,1.595307554,0.083655696
84420.497,342.1639953,CO,1019000303,Cherry Creek-South Platte River,TF,S,87,1.363588343,0.035897325
64112.471,258.705256,CO,1019000604,Headwaters Little Thompson River,NM,S,73,0.960165588,0.02740536
63588.848,258.7985801,CO,1019000605,Dry Creek-Little Thompson River,"RS,TF",S,60,0.962463861,0.027412065
